levels_id,company_name
1218,Lead Technologist
1219,technical  leader
1220,SW Dev Eng Mgr 2
1221,T3 - 3
1222,K5
1223,Zen2
1224,4B
1225,Data Scientist II
1226,ASC
1227,Software Engineer Staff
1228,Senior Application Developer
1229,Senior Development Engineering Officer
1230,GSR7
1231,Senior Associate - 602
1232,SDEP40
1233,L1.5
1234,Senior Software Engineer (5)
1235,Officer
1236,Sr staff engineer/Manager
1237,CL22
1238,ITC4
1239,Software Engineer (Fresher)
1240,Professional Software-Engineer
1241,Consultant Developer
1242,Vice president
1243,Associate Software Developer
1244,Intermidiate
1245,technologist
1246,g10
1247,senior product manager
1248,Senior I
1249,Software Developer I
1250,Senior architect
1251,JL6
1252,Staff Engineer I
1253,vice president
1254,Director of design
1255,Senior engineer
1256,Engineer 53
1257,E
1258,L18
1259,Medior
1260,Design Lead
1261,sde 2
1262,SDI 1
1263,SSE2
1264,S3
1265,Engineer L2
1266,Lv 2
1267,Senior Director of Software Eng
1268,Principal Software Engineer 1
1269,designer 2
1270,ICB3
1271,Engagement Manager
1272,ASSOCIATE SOFTWARE ENGINEER
1273,Senior software Engineer
1274,Enry
1275,Sr SDE II
1276,Sr Product Developer L2
1277,SE IV
1278,mts4
1279,M7
1280,Sr product manager
1281,Software Designer
1282,middle
1283,Senior SDI
1284,O
1285,J26
1286,L 4
1287,Software Development Engineer 1
1288,Support
1289,Data Scientist I
1290,ic2
1291,U
1292,M9
1293,fellow
1294,Advisory Software Engineer
1295,C12
1296,B35
1297,Frontend Engineer I
1298,E2 Senior
1299,Product Manager (L3)
1300,Senior Staff R&D
1301,300-9
1302,Sr.Design Engineer E6
1303,Engineering manager
1304,T4-2
1305,Senior Software Engineer Level 1
1306,Sr. Solution Architect
1307,Semi Senior Advanced
1308,Group
1309,8B
1310,m4
1311,Senior Professional
1312,TL
1313,engineer 1
1314,IC3-2
1315,L08
1316,G11
1317,ic5
1318,Business Technology Analyst
1319,Data science 1
1320,Senior Associate Consultant
1321,associate
1322,M4 Senior Manager
1323,Rotational Software Engineer
1324,Principal member of technical staff
1325,3 years
1326,C7
1327,Senior SDE Manager
1328,Level II
1329,Director product
1330,Senior Engineer I
1331,2-2
1332,Engineer 5
1333,soc component engineer
1334,7B
1335,G09
1336,Distinguished Technologist
1337,New Graduate Student
1338,SDE IV
1339,40
1340,assistant vice president
1341,SDE II L62
1342,Lead / L4
1343,Application Development Senior Engineer
1344,3-2
1345,SEP
1346,S7
1347,Junior I
1348,L5 QAE
1349,L5 (Senior PM)
1350,B8
1351,product designer
1352,Level 8
1353,software engineer entry level
1354,ENO
1355,software engineering manager
1356,SVP
1357,Level 3 software engineer
1358,Product manager
1359,Entry-level
1360,2-1
1361,Technical Lead
1362,Core Software Engineer
1363,Smts
1364,Lead application developer
1365,MTS 4
1366,T1 L3
1367,G07
1368,T29
1369,Senior Architect
1370,Senior Engagement Manager
1371,Director (L9)
1372,junior
1373,Associate 1
1374,EE2
1375,Director D2
